"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","68","54127 > tungsten-https [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763347 TSecr=0 SACK_PERM=1"
"2","0.000053000","127.0.0.1","127.0.0.1","TCP","68","tungsten-https > 54127 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763347 TSecr=611763347 SACK_PERM=1"
"3","0.000066000","127.0.0.1","127.0.0.1","TCP","56","54127 > tungsten-https [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763347 TSecr=611763347"
"4","0.000078000","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] tungsten-https > 54127 [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763347 TSecr=611763347"
"5","0.000490000","127.0.0.1","127.0.0.1","TLSv1","573","Client Hello"
"6","0.000564000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54127 [ACK] Seq=1 Ack=518 Win=146464 Len=0 TSval=611763347 TSecr=611763347"
"7","0.000768000","127.0.0.1","127.0.0.1","TCP","68","54128 > tungsten-https [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763347 TSecr=0 SACK_PERM=1"
"8","0.000842000","127.0.0.1","127.0.0.1","TCP","68","tungsten-https > 54128 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=16 TSval=611763347 TSecr=611763347 SACK_PERM=1"
"9","0.000854000","127.0.0.1","127.0.0.1","TCP","56","54128 > tungsten-https [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763347 TSecr=611763347"
"10","0.000862000","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] tungsten-https > 54128 [ACK] Seq=1 Ack=1 Win=146976 Len=0 TSval=611763347 TSecr=611763347"
"11","0.001116000","127.0.0.1","127.0.0.1","TLSv1","201","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"12","0.001136000","127.0.0.1","127.0.0.1","TCP","56","54127 > tungsten-https [ACK] Seq=518 Ack=146 Win=146832 Len=0 TSval=611763348 TSecr=611763348"
"13","0.001304000","127.0.0.1","127.0.0.1","TLSv1","573","Client Hello"
"14","0.001322000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54128 [ACK] Seq=1 Ack=518 Win=146464 Len=0 TSval=611763348 TSecr=611763348"
"15","0.002017000","127.0.0.1","127.0.0.1","TLSv1","115","Change Cipher Spec, Encrypted Handshake Message"
"16","0.002038000","127.0.0.1","127.0.0.1","TCP","56","tungsten-https > 54127 [ACK] Seq=146 Ack=577 Win=146400 Len=0 TSval=611763349 TSecr=611763349"
"17","0.002063000","127.0.0.1","127.0.0.1","TCP","56","54127 > tungsten-https [FIN, ACK] Seq=577 Ack=146 Win=146832 Len=0 TSval=611763349 TSecr=611763349"
